"Planet_idx":"Planet_name":"Star_code":"mass (earth)":"density (earth)":"radius":"TYPE_TERRAIN":"Climate Type"
1:"Kirei Dionysios":5269:8,97:0,996:missing:"jungle; volcano":"artic; hot; humid; subartic"
918:"Lurking Whispers I":5396:3,95:0,938:1,61:"hill; city":"tropical; humid"
919:"Lurking Whispers XX":5396:1,11:0,581:1,24:"tundra; canyons; forest; vine":"windy; superheated; arid; humid; subartic"
920:"Felis Shi":954:2,91:1,034:1,41:"urban; valley; rocky island; reef; city":"arid; temperate; frigid; subartic; artificial temperate; frozen"
921:"Zenithria XX":2729:0,75:1,271:0,84:"tundra":"frozen"
922:"Aldebaran XIII":39:1,75:0,793:1,3:"ice canyon; urban; cave":"subartic; tropical"
923:"Aldebaran VI":39:9,46:0,843:2,24:"valley; lava river":"tropical; artificial temperate; hot"
924:"Avior Ba":6812:1,67:1,518:1,03:"ocean":"hot; superheated"
925:"Avior Shi":6812:7,45:1,052:1,92:"urban; cityscape":"arid; artic; windy"
926:"Avior Liu":6812:1,97:0,826:1,34:"vine":"windy; artificial temperate; subartic"
927:"Pleione Pegasusian":8240:1,51:1,376:1,03:"mountain":"rocky; hot; superheated; windy; humid; subartic; artic"
928:"Pleione Artemian":8240:4,43:0,763:1,8:"ice canyon":"subartic; tropical"
929:"Mikado Serenity V":5021:4,04:0,929:1,63:"rainforest; acid pool; island; rocky island; rock arche":"artificial temperate; frigid; windy; humid"
930:"Mikado Serenity XVIII":5021:3,62:0,666:1,76:"ocean; lava river; sea; sinkholes; forest; rock arche":"arid; artificial temperate; frigid; tropical; artic; hot"
931:"Mikado Serenity IV":5021:4,83:0,853:1,78:"valley; savanna; lakes":"artificial temperate; rocky"
932:"Koi's Whisper Liu":5636:1,37:0,855:1,17:"cityscape; reef; grassy hill; plain; ice cave":"artificial temperate; subartic; artic; windy"
933:"Koi's Whisper Si":5636:2,23:1,492:1,14:"city; cliff; ocean":"tropical; subartic; frigid; rocky"
934:"Koi's Whisper Er":5636:5,7:0,757:1,96:"vine; cliff":"windy; subartic; artificial temperate; temperate; tropical"
935:"Cleopatra's Resonance Vigesimal":8790:0,94:0,777:1,07:"forest; ice cave; cityscape":"windy; subartic; tropical; frozen; artic"
936:"Cleopatra's Resonance Quartal":8790:1,98:0,696:1,42:"urban; hill; rock arche; cityscape":"superheated; artificial temperate; rocky"
937:"Kasumi Orphean":9575:2,23:1,346:1,18:"volcano; jungle":"subartic; windy; humid; superheated; tropical"
938:"Kasumi Psychean":9575:1,35:1,27:1,02:"fungus forest; cityscape; verdant; urban; jungle":"artificial temperate; arid; tropical; windy"
939:"Nebula Obscura Nonal":8996:1,09:0,899:1,07:"valley; rocky desert; acid pool":"superheated; humid; temperate; windy"
940:"Nebula Obscura Secant":8996:3,76:1,35:missing:"island; rocky canyon; cliff":"temperate; artificial temperate"
941:"Alfirk Yi":786:9,83:1,357:1,93:"rocky island; ocean; vine; forest":"rocky; hot; superheated"
942:"Alfirk Si":786:0,68:1,203:missing:"cliff; savanna; rocky island":"rocky; subartic"
943:"Moldoveanu Aetherios":9530:7,65:0,656:2,27:"sinkholes; hill; lava river; rainforest; ice cave; forest":"artificial temperate; subartic; humid; hot; rocky"
944:"Seishin Nymphios":9587:9,02:1,101:2,02:"reef; rock arche; fungus forest; urban":"temperate; frozen; tropical"
945:"Galactic Ember Tertial":1032:4,98:1,201:1,61:"river; rock arche; mountain; rocky desert; ash; lakes; glacier; reef":"subartic; arid; artic; frozen; hot"
946:"Galactic Ember Sextant":1032:4,41:0,988:1,65:"river; tundra; glacier":"hot; humid; frigid; rocky"
947:"Dingolay Zeta":1303:1,79:0,885:1,26:"canyons; rocky desert":"humid; subartic; hot; artic"
948:"Dingolay Omicron":1303:1,95:0,961:1,27:"rock arche; grassland":"humid; windy; rocky; superheated; arid"
949:"Arkab Prior Sirenios":1069:2,31:0,897:1,37:"river; hill; bog; forest":"frigid; tropical; hot"
950:"Polaris XIV":2854:2,87:1,013:1,42:"ocean; ash; rocky island":"subartic; humid; hot"
951:"Vesperian Whimsy Persephonian":1288:8,11:1,385:1,8:"glacier; rock arche":"artificial temperate; frozen; frigid; superheated"
952:"Flegetonte Olympios":2400:0,94:1,186:0,93:"forest; mountain":"rocky; windy; superheated"
953:"Aurora Anomaly Lambda":4973:0,8:0,922:0,95:"jungle":"artificial temperate; tropical; frozen; hot; humid; artic"
954:"Aurora Anomaly Gamma":4973:0,9:1,411:0,86:"glacier; rocky island; plateau; plain":"frigid; subartic; frozen; temperate"
955:"Aurora Anomaly Rho":4973:7,21:0,981:1,94:"verdant; glacier; rainforest; reef; ocean; island; valley":"artic; hot; humid; temperate; frigid; arid; superheated"
956:"Aurora Anomaly Theta":4973:5,33:1,042:1,72:"toxic cloudsea; plateau; city; rocky desert; cave":"rocky; frozen; superheated"
957:"Aurora Anomaly Alpha":4973:1,31:0,978:1,1:"toxic cloudsea; mountain; rock arche":"subartic; artic"
958:"Pharaoh's Veil Omega":3495:2,03:0,651:1,46:"cliff":"artic; rocky; tropical; subartic; frigid; arid"
959:"Pharaoh's Veil Alpha":3495:1,07:0,976:1,03:"volcano; desert; rainforest; canyons":"windy; frozen; artic; superheated"
960:"Alterf Eosian":9526:1,65:0,992:1,18:"rock arche; lava river; sinkholes; rocky canyon; cave; desert; rocky desert; canyons; cityscape":"rocky; superheated; subartic; artificial temperate; humid; arid"
961:"Cerulean Abyss Xi":1320:3,63:0,982:1,55:"verdant":"frigid; humid; windy"
962:"Cerulean Abyss Pi":1320:7,06:0,945:1,95:"cityscape; plain; swamp; sea; rock arche; valley; tundra; volcano; toxic cloudsea; fungus forest":"tropical; temperate; frigid; artic; arid; subartic; humid"
963:"Cerulean Abyss Zeta":1320:missing:1,226:1,91:"reef; grassland; lakes; rocky island; cliff":"rocky; humid; tropical; superheated"
964:"Furud Vigesimal":7401:6,92:0,989:1,91:"scrubland; river; forest; vine":"arid; windy; hot; rocky; artic"
965:"Furud Quintal":7401:8,27:1,047:1,99:"mountain; savanna; jungle; island":"arid; hot; rocky"
966:"Belel Cerberian":1748:missing:1,211:1,01:"ocean; rocky canyon":"arid; artic; frigid"
967:"Belel Atlasios":1748:0,91:1,319:0,88:"grassy hill":"artificial temperate; humid; temperate"
968:"Belel Nemesisian":1748:missing:1,144:1,87:"sinkholes":"tropical; artic; superheated; arid"
969:"Cryptic Nebula Olympios":4966:0,49:0,997:missing:"rocky desert":"rocky; hot; artificial temperate; arid"
970:"Cryptic Nebula Chimeraean":4966:3,65:1,043:1,52:"cave; rocky canyon; fungus forest":"frozen; hot; subartic; temperate; windy"
971:"Cryptic Nebula Pantheon":4966:missing:1,017:1,36:"verdant":"hot; frigid"
972:"Starglow Spectra XXIV":9771:3,21:0,999:1,48:"scrubland":"hot; artic; arid; windy"
973:"Kachō Oranos":4075:4,24:0,878:1,69:"glacier; reef; grassland; cliff; ash":"artic; artificial temperate; superheated; subartic; temperate"
974:"Darkonium Asclepian":2049:0,98:1,193:0,94:"plain":"superheated; tropical; temperate"
975:"Deneb Algedi Undecimal":2558:5,03:0,849:1,81:"ash; acid pool":"frozen; superheated"
976:"Deneb Algedi Octal":2558:3,37:0,773:1,63:"desert":"artificial temperate; frozen; temperate; frigid; superheated; rocky"
977:"Quasar Seraph Epsilon":6135:1,66:1,195:1,12:"river; savanna; grassland":"artic; windy; humid; frozen; artificial temperate; hot"
978:"Quasar Seraph Iota":6135:5,43:0,596:2,09:"rocky island; acid pool":"hot; artic; temperate; windy; rocky"
979:"Horus' Gaze Beta":3849:4,44:0,856:1,73:"acid pool; cityscape":"hot; frigid"
980:"Horus' Gaze Sigma":3849:8,31:1,015:2,02:"cliff; mountain; canyons":"superheated; frigid; windy; temperate; tropical"
981:"Horus' Gaze Alpha":3849:7,69:0,743:2,18:"cave; rocky desert; rainforest; glacier; ice canyon; bog; volcano; ice cave":"superheated; artic; hot; humid; subartic"
982:"Baekdu VIII":3338:1,93:0,751:1,37:"rock arche; desert; hill":"arid; rocky; superheated"
983:"Baekdu XVIII":3338:1,89:0,597:1,47:"reef; desert":"humid; windy; frozen; frigid; superheated"
984:"Baekdu XIII":3338:3,58:0,927:1,57:"island; plateau; sea; rocky desert":"windy; hot; humid; superheated"
985:"Baekdu XII":3338:1,61:1,425:missing:"acid pool; lava river":"rocky; hot; tropical; arid; humid"
986:"Baekdu XVI":3338:4,81:1,06:1,66:"rocky desert; lakes; ice cave; field; sea; glacier; ash; savanna":"rocky; temperate; frozen; humid; superheated"
987:"Lygos Veil V":2747:6,55:1,232:1,75:"island; field; sea; ocean; river":"frozen; frigid; rocky; temperate; artic"
988:"Lunar Mirage Selenean":2304:missing:0,854:1,44:"cityscape; river; volcano; valley":"superheated; arid; rocky; tropical; windy; hot"
989:"Alnasl Sirenios":6993:6,96:1,293:1,75:"desert; sea; cityscape; rocky desert":"tropical; arid; rocky; humid; frozen; temperate; superheated"
990:"Alnasl Herculean":6993:2,29:0,995:1,32:"river; cityscape":"hot; artificial temperate; subartic; artic"
991:"Alnasl Morphean":6993:6,16:1,425:1,63:"mountain; field; cityscape; cliff":"arid; rocky; artic; frozen; windy; subartic; temperate"
992:"Kūkan Cascade Irisian":7602:4,65:0,904:1,73:"city; plateau; vine":"temperate; frigid; windy; humid"
993:"Marsic Irisian":5449:1,35:1,063:1,08:"mountain; verdant; grassland; rock arche":"tropical; artic; humid; superheated; frigid"
994:"Fuyue Duodecimal":8843:0,91:1,093:0,94:"sea; rocky canyon; river; toxic cloudsea; jungle; grassland; volcano":"superheated; temperate; arid; artic; frozen; artificial temperate"
995:"Fuyue Sextant":8843:8,16:1,031:1,99:"ocean":"humid; frigid"
996:"Zosma Ba":4647:0,71:1,244:0,83:"glacier; valley; plateau":"artic; arid; frozen; subartic"
997:"Zosma Er":4647:0,62:1,013:0,85:"grassy hill; vine":"tropical; hot; artic"
998:"Zosma Shi":4647:0,59:1,184:0,79:"ash; mountain; plain; ice canyon; sinkholes":"arid; artic; superheated; frozen"
999:"Zosma Yi":4647:0,98:1,321:0,91:"plain; cave; ice cave; lakes; swamp":"superheated; humid; subartic; rocky"
1000:"Chasoň Chimeraean":5469:7,35:1,138:1,86:"lakes; cityscape; volcano; ocean":"superheated; tropical; temperate; frozen"
1001:"Cassioflux Atlasios":8170:0,96:1,215:0,92:"plain":"subartic"
1002:"Comet Shroud Delta":7792:4,13:1,131:1,54:"mountain":"windy; frigid; temperate"
1003:"Comet Shroud Tau":7792:1,57:0,933:1,19:"ice cave; hill; rock arche":"subartic; artic"
1004:"Lysian Nexus XV":3789:8,19:1,416:1,8:"canyons; sinkholes; reef":"artificial temperate; subartic; artic; tropical; hot"
1005:"Bubup Chi":3134:0,91:0,798:1,04:"cave; sinkholes; ash; rock arche; rocky desert":"arid; humid; frozen; artic; artificial temperate; superheated; hot"
1006:"Bubup Gamma":3134:2,72:1,376:1,26:"acid pool; savanna; ice cave; verdant; city":"superheated; frigid; windy; arid"
1007:"Bubup Sigma":3134:2,92:1,178:1,35:"plateau; island; cave":"artic; artificial temperate"
1008:"Brimwarden Nonal":8430:6,32:1,044:1,82:"rock arche":"arid; hot"
1009:"Brimwarden Secant":8430:3,39:0,789:1,63:"ice cave":"frozen"
1010:"Anser IV":800:0,62:1,132:0,82:"mountain; glacier":"superheated; artic; tropical; windy"
1011:"Ra's Ascendance III":2086:2,68:1,167:1,32:"verdant; river; valley; desert; vine":"rocky; artic; arid; humid"
1012:"Ra's Ascendance XIII":2086:1,14:1,096:1,01:"savanna; tundra; volcano":"temperate; arid; rocky; artificial temperate; superheated"
1013:"Ra's Ascendance II":2086:1,54:1,022:1,15:"lava river; grassy hill; jungle; ice canyon":"artic; tropical; hot"
1014:"Ra's Ascendance XVIII":2086:3,07:1,087:1,41:"bog; rocky desert; sea":"humid; frozen; superheated; arid"
1015:"Ra's Ascendance XXIII":2086:2,19:0,933:1,33:"cityscape; cliff; island":"windy; subartic; humid"
1016:"Fang Lambda":6299:2,53:0,838:1,45:"mountain; vine; fungus forest; urban":"windy; frigid; artic; rocky; humid; artificial temperate"
1017:"Alula Borealis I":3910:1,56:1,249:1,08:"toxic cloudsea; forest; acid pool; reef":"artic; hot; windy; tropical; temperate"
1018:"Alula Borealis XXII":3910:1,44:0,873:1,18:"volcano":"hot; tropical; arid; superheated; subartic; temperate"
1019:"Edasich Psychean":9581:4,73:0,662:1,93:"island; glacier; ice canyon; reef":"frozen; hot; artic; arid; rocky"
1020:"Edasich Gaian":9581:7,37:1,424:1,73:"verdant; field; acid pool; volcano":"tropical; superheated; rocky; humid"
1021:"Whalebone III":3796:1,52:1,483:1,01:"ice canyon; cave; hill; jungle":"artificial temperate; tropical; artic; superheated"
1022:"Whalebone XX":3796:2,36:0,899:1,38:"urban; river":"artic; subartic"
1023:"Whalebone XIX":3796:1,14:1,044:1,03:"urban":"temperate; humid"
1024:"Whalebone X":3796:9,87:1,39:1,92:"glacier; forest; desert; sea; ice canyon; grassland":"superheated; hot; humid; frigid"
1025:"Thalassa's Shroud VIII":2905:3,55:0,949:1,55:"grassy hill; rock arche":"rocky; subartic; hot"
1026:"Thalassa's Shroud XXII":2905:3,7:1,142:1,48:"cityscape":"arid; rocky; artificial temperate"
1027:"Thalassa's Shroud XII":2905:5,69:0,579:2,14:"grassy hill; rocky canyon; volcano; valley; mountain; island":"artificial temperate; rocky; artic; subartic; temperate; arid"
1028:"Thalassa's Shroud VI":2905:5,89:1,233:1,68:"hill; city; ice cave; toxic cloudsea; urban; reef":"frigid; artificial temperate; arid; artic; tropical"
1029:"Thalassa's Shroud VII":2905:missing:0,855:1,99:"bog; sinkholes; forest; cliff; acid pool; plateau; jungle; sea":"hot; artic; windy; frozen; artificial temperate; subartic; rocky"
1030:"Nusakan Centaurios":9870:1,48:0,663:missing:"valley; jungle; cliff; canyons; island; glacier; rocky island; sea; lakes; city; lava river":"arid; artificial temperate; frigid; hot; superheated; tropical; artic"
1031:"Ankh Horizon Nemesisian":67:5,51:1,009:1,76:"tundra; rock arche; cityscape":"tropical; arid; artic"
1032:"Zephyrianix Epsilon":2198:2,44:1,178:1,27:"field; forest; mountain":"rocky; superheated; artic; artificial temperate"
1033:"Zephyrianix Eta":2198:1,42:1,145:1,07:"cave; swamp":"frigid; frozen; humid; subartic"
1034:"Zephyrianix Rho":2198:1,39:0,836:1,18:"canyons; plain; cityscape":"hot; tropical; rocky; superheated"
1035:"Zavijava Tritonian":9076:1:0,914:1,03:"sea; cliff; tundra; city; verdant":"frigid; arid; rocky; artificial temperate; subartic; humid"
1036:"Umbral Depths Undecimal":9764:3,19:0,808:1,58:"sinkholes":"frigid; artificial temperate; rocky; hot; tropical"
1037:"Umbral Depths Vigesimal":9764:7,88:0,91:2,05:"city":"arid; humid"
1038:"Umbral Depths Decimal":9764:6,02:0,826:1,94:"field; swamp; rocky canyon":"frigid; windy; hot; tropical; artificial temperate"
1039:"Umbral Depths Tertial":9764:3,01:1,313:1,32:"city; cave":"frigid; tropical"
1040:"Tesserion IV":4890:2,54:1,074:1,33:"mountain; volcano":"temperate; arid; subartic"
1041:"Tesserion II":4890:4,99:0,688:1,94:"cliff; volcano; ice canyon; rock arche":"tropical; arid; frozen; subartic"
1042:"Torii Celestial Er":7328:6,03:0,416:2,44:"ash; hill; bog; forest; cliff":"arid; windy; rocky; hot; temperate"
1043:"Torii Celestial Yi":7328:2,87:1,57:1,22:"hill; plain; cliff":"frozen; superheated; windy"
1044:"Torii Celestial Si":7328:3,04:1,023:1,44:"bog":"artificial temperate; humid; frigid; superheated"
1045:"Vindemiatrix Demetrian":9237:1,36:0,805:1,19:"city; cliff; forest":"frigid; humid; hot; tropical"
1046:"Vindemiatrix Gaian":9237:7,51:0,828:2,09:"volcano; plain; sinkholes; rocky island; city; hill":"arid; artificial temperate; superheated; artic"
1047:"Vindemiatrix Tritonian":9237:2,87:0,516:1,77:"canyons":"artificial temperate; frozen"
1048:"Vindemiatrix Gaios":9237:1,13:0,453:1,36:"ocean; river":"arid; artificial temperate; frozen; tropical; hot"
1049:"Vindemiatrix Hestian":9237:1,48:1,056:1,12:"tundra; acid pool; sinkholes; plateau":"temperate; frigid; subartic; superheated; artic"
1050:"Infinity Iris Hestian":8229:2,8:0,927:1,45:"rocky canyon":"subartic; tropical; artic; frozen"
1051:"Infinity Iris Dionysios":8229:9,5:0,724:2,36:"cityscape":"artic; subartic"
1052:"Infinity Iris Psychean":8229:2,45:1,222:1,26:"cliff; ice canyon; tundra; glacier; bog":"subartic; superheated; artic; frigid; tropical"
1053:"Unukalhai Phi":5323:0,87:1,197:0,9:"city; field; tundra; glacier; fungus forest; urban":"artificial temperate; frozen; humid; subartic; frigid"
1054:"Unukalhai Omicron":5323:6,99:1,328:1,74:"jungle":"subartic; windy; tropical; humid; superheated; frozen; rocky"
1055:"Unukalhai Delta":5323:2,1:0,661:1,47:"desert; canyons":"hot; temperate; arid"
1056:"Unukalhai Sigma":5323:7,2:1,049:1,9:"forest; city":"tropical; hot; superheated"
1057:"Unukalhai Kappa":5323:1,72:1,238:1,12:"hill; ash; lava river; desert; savanna":"superheated; humid; artic; arid; frozen; windy; rocky"
1058:"Nenque Nu":8142:1,92:1,096:1,21:"rock arche; plateau":"windy; frozen"
1059:"Ninja's Horizon Undecimal":9250:missing:0,872:1,14:"rocky canyon; urban":"artic; temperate; windy"
1060:"Ninja's Horizon Septimal":9250:5,68:1,226:1,67:"reef; scrubland; vine":"temperate; windy; superheated; arid; humid; artificial temperate"
1061:"Ninja's Horizon Nonal":9250:1,44:1,184:1,07:"city; savanna":"frozen; artic; hot"
1062:"Ninja's Horizon Tertial":9250:4,22:0,89:1,68:"scrubland; vine":"artic; subartic; arid; artificial temperate; humid; temperate"
1063:"Intan Sigma":7563:1,07:0,937:1,05:"jungle; grassland":"temperate; hot; tropical; windy; rocky"
1064:"Rigil Kentaurus Atlasios":6185:3,05:0,681:1,65:"valley; volcano; field":"hot; frozen; artic; humid; windy"
1065:"Ryusei Radiance Nemesisian":2217:6,17:1,212:1,72:"tundra; valley; reef; lakes; scrubland":"arid; tropical; frozen; frigid; temperate"
1066:"Ryusei Radiance Poseidian":2217:missing:1,21:1,46:"ocean":"frigid"
1067:"Ryusei Radiance Aetherios":2217:1,82:0,997:1,22:"hill; acid pool; river; rocky island; grassland; ocean; cityscape; valley; rocky canyon":"hot; subartic; rocky; windy; humid; frigid; artificial temperate"
1068:"Astrobix Omega":9835:1,58:0,99:1,17:"lakes; rock arche; verdant; reef":"frozen; artificial temperate; subartic"
1069:"Astrobix Delta":9835:4,07:0,863:1,68:"ice cave; rocky desert; reef; cliff; fungus forest; mountain":"subartic; rocky; artic; humid; frigid"
1070:"Astrobix Pi":9835:9,2:1,002:2,09:"rainforest; ocean; rocky desert; plain; reef; island":"artic; frozen; humid; temperate; subartic"
1071:"Astrobix Upsilon":9835:0,64:0,977:missing:"field; bog; forest; sinkholes":"artic; superheated; tropical"
1072:"Ain Decimal":3857:5,42:0,764:1,92:"jungle; toxic cloudsea; rocky island":"artificial temperate; artic; tropical; superheated"
1073:"Ain Nonal":3857:5,85:1,344:1,63:"scrubland; mountain":"frozen; hot; artic; tropical; arid"
1074:"Ain Duodecimal":3857:1,29:1,253:1,01:"mountain":"artificial temperate; tropical; artic; superheated; frozen; temperate; hot"
1075:"Tsubasa Echoes Chi":7770:1,41:1,056:1,1:"hill; savanna":"superheated; windy; tropical"
1076:"Tsubasa Echoes Theta":7770:2,43:0,491:1,7:"toxic cloudsea; ocean; jungle; island; mountain; ice cave":"hot; superheated; windy; humid; artic; rocky"
1077:"Tsubasa Echoes Tau":7770:0,69:1,014:0,88:"bog; rainforest; canyons; verdant; jungle":"tropical; humid; artificial temperate; artic; frozen"
1078:"Minchir Nemesisian":3895:5,85:1,397:1,61:"mountain":"temperate; frozen; superheated"
1079:"Cosmosith XVI":5867:1,93:1,57:1,07:"ash":"hot; frigid; artic"
1080:"Astral Serenity Dionian":3888:8,65:1,174:1,95:"urban":"artificial temperate; frozen; subartic; rocky"
1081:"Astral Serenity Poseidian":3888:0,43:1,429:0,67:"grassland; hill; tundra; city; rainforest":"artic; rocky; humid; windy"
1082:"Astral Serenity Morphean":3888:1,5:0,923:1,18:"verdant":"frozen"
1083:"Vermilion Expanse XII":6604:0,47:1,127:0,75:"island; jungle; forest; plain; ice canyon":"arid; artic; tropical"
1084:"Vermilion Expanse XXI":6604:2,42:0,781:1,46:"rocky canyon; forest; hill; jungle; city; volcano":"arid; frozen; hot; artificial temperate"
1085:"Vermilion Expanse XV":6604:3,64:1,235:1,43:"vine; ice cave; river; plain; desert":"hot; artic; temperate"
1086:"Algedi Octal":309:0,98:0,957:1,01:"forest":"temperate; artificial temperate; windy; hot; artic; arid; frozen"
1087:"Algedi Vigesimal":309:2,06:0,745:1,4:"sinkholes; ash; field; lava river; fungus forest":"artificial temperate; superheated; humid"
1088:"Wolfheart Typhonian":7304:6,66:1,257:1,74:"rocky canyon":"temperate; rocky; tropical; artic; windy"
1089:"Chalawan XXI":3952:4,85:1,505:1,48:"vine":"frozen; artificial temperate; artic"
1090:"Galaxy Prism XX":8154:0,98:0,661:1,14:"ice cave; cityscape; field; canyons; hill":"frigid; windy; temperate; subartic"
1091:"Galaxy Prism VI":8154:2,45:0,946:1,37:"urban; volcano":"superheated; subartic; frigid; windy; tropical; temperate"
1092:"Nushagak Dionian":7604:1,86:1,198:1,16:"tundra":"subartic; artic"
1093:"Aurora Phantasm Duodecimal":2598:7,94:0,74:2,21:"bog; cityscape; cave; canyons; field":"rocky; windy; temperate; artic; artificial temperate; frozen"
1094:"Aurora Phantasm Nonal":2598:1,8:1,133:1,17:"bog; plain; grassy hill":"humid; superheated"
1095:"Aurora Phantasm Undecimal":2598:5,62:0,917:1,83:"acid pool; fungus forest; sinkholes":"windy; hot; tropical; temperate"
1096:"Aurora Phantasm Quintal":2598:8,32:0,94:2,07:"savanna":"hot; artificial temperate; frozen; rocky"
1097:"Mpingo Hermian":6752:3,95:1,114:1,53:"rocky island; valley; cityscape; cave":"frozen; subartic; humid"
1098:"Mpingo Titanos":6752:1:0,918:1,03:"rocky desert; rocky canyon; jungle; volcano":"artificial temperate; rocky; arid; temperate; subartic; windy; humid"
1099:"Mpingo Demetrian":6752:6,36:0,553:2,26:"cityscape; forest; hill; bog; grassy hill; tundra; fungus forest":"rocky; artificial temperate; hot; temperate; humid"
1100:"Aurum Quasar XVII":6321:2,45:1,034:1,33:"toxic cloudsea; urban":"subartic; frozen"
1101:"Nekkar Quartal":3884:7,59:1,09:1,91:"ocean; lava river; vine":"tropical; temperate; artificial temperate; humid; superheated; windy"
1102:"Nekkar Sextant":3884:1,57:1,16:1,11:"savanna; sinkholes; river; reef; desert; valley":"humid; superheated; windy; temperate; arid"
1103:"Nekkar Octal":3884:4,73:1,003:1,68:"scrubland; glacier; verdant; ash; ocean":"subartic; temperate; hot; arid"
1104:"Nekkar Duodecimal":3884:2,4:0,758:1,47:"forest; river":"rocky"
1105:"Nekkar Septimal":3884:7,24:0,626:2,26:"savanna; cliff":"arid"
1106:"Koi's Radiance Echoian":4568:5,53:0,632:2,06:"city; canyons":"temperate; subartic; frigid; rocky; artificial temperate"
1107:"Mouhoun Herculean":9152:0,58:0,354:1,18:"sea; rocky desert; rocky island":"frozen; temperate"
1108:"Lunarisys Oranos":2134:1,46:1,417:1,01:"hill; jungle; ice canyon":"tropical; subartic; temperate; frozen"
1109:"Lunarisys Hecatean":2134:1,28:0,825:1,16:"vine; tundra; ocean; jungle; reef":"arid; hot; windy; rocky; superheated"
1110:"Lunarisys Tritonian":2134:7,88:1,041:1,96:"ice canyon; bog; sea; forest; grassy hill; lakes; hill":"arid; superheated; humid; hot; subartic; rocky; windy"
1111:"Musica Shi":1595:1,54:0,696:1,3:"plain; cliff":"frozen; subartic; arid; rocky"
1112:"Musica Jiu":1595:0,47:1,113:0,75:"volcano; lava river; hill":"hot; artic; subartic"
1113:"Musica Yi":1595:3,97:0,878:1,65:"hill; forest":"humid; superheated"
1114:"Musica Qi":1595:6,25:0,991:1,85:"urban; lava river":"temperate; frigid; rocky; hot"
1115:"Ronin's Cascade Psi":480:7,89:1,034:1,97:"rocky canyon; island; savanna; glacier; toxic cloudsea":"frozen; arid; frigid; artic"
1116:"Cosmara Octal":6872:2,61:1,166:1,31:"bog; rocky desert; urban; ice canyon; savanna; scrubland":"frigid; arid; artic; humid; tropical"
1117:"Cosmara Duodecimal":6872:1,72:1,345:1,09:"mountain; rocky desert; cave":"hot; humid"
1118:"Cosmara Quintal":6872:2,19:0,961:1,32:"ice canyon; mountain; canyons; river":"humid; artic; temperate; superheated; windy"
1119:"Cosmara Secant":6872:6,08:1,37:1,64:"urban":"artic; hot; artificial temperate; frozen"
1120:"Kiri Horizon Si":4116:3,19:0,6:1,75:"volcano; ice canyon; cave; rocky canyon":"frigid; arid; artic"
1121:"Kiri Horizon Er":4116:1,56:1,047:1,14:"plateau; fungus forest":"artic; frozen; humid"
1122:"Kiri Horizon Shi":4116:2,36:0,887:1,39:"plain; city; cave; rainforest":"windy; frigid; subartic; superheated; artic"
1123:"Kiri Horizon Ba":4116:0,63:0,591:1,02:"jungle; cityscape; bog; plain; field; river; lakes":"artificial temperate; tropical; frigid; frozen; artic"
1124:"Merak Zeta":1219:1,31:0,515:1,37:"toxic cloudsea; desert; island":"humid; arid; frozen; subartic; frigid; superheated"
1125:"Sabik Artemian":8731:3,71:0,854:1,63:"lakes; sea":"tropical; windy"
1126:"Acrux Liu":3187:9,06:1,297:1,91:"volcano; urban; city; canyons; lakes":"hot; tropical; rocky"
1127:"Acrux Yi":3187:1,64:1,304:1,08:"island; jungle; volcano; bog; valley; grassland":"superheated; hot; arid; temperate"
1128:"Lionrock Pegasusian":3833:2,59:1,342:1,24:"rainforest; river; bog; rock arche":"temperate; humid; subartic"
1129:"Arcadian Whispers Decimal":7333:7,55:0,888:2,04:"sinkholes; grassland; hill; grassy hill":"temperate; superheated; artic; frigid; subartic"
1130:"Elysian Nebula Gaian":248:missing:0,86:1,04:"vine":"artic; subartic; humid"
1131:"Vortexith Chi":869:2,61:0,918:1,42:"ice cave; valley":"frigid; superheated; subartic"
1132:"Vortexith Beta":869:6,64:1,238:1,75:"plateau":"frozen; temperate; windy; superheated"
1133:"Vortexith Xi":869:4,47:1,036:1,63:"swamp":"tropical"
1134:"Vortexith Rho":869:7,1:1,116:1,85:"plain; ash; sinkholes; ocean":"superheated; temperate; hot"
1135:"Vortexith Omega":869:3,39:1,29:1,38:"island; hill; glacier; desert; plain; volcano":"frigid; windy; hot; frozen; temperate"
1136:"Setsuna Athenian":3412:2,34:1,274:1,22:"city":"artic; artificial temperate; rocky; frigid"
1137:"Minelauva Si":7687:0,53:1,037:0,8:"bog; forest; canyons; grassy hill; rainforest":"subartic; superheated; temperate; frigid; frozen; tropical; windy"
1138:"Gumala Echoian":7795:missing:1,044:1,57:"vine; canyons; glacier":"frozen; hot; frigid; temperate; tropical; windy"
1139:"Gumala Orphean":7795:3,24:0,872:1,55:"sinkholes; mountain":"superheated; hot"
1140:"Gumala Apollox":7795:4,22:1,356:1,46:"island; mountain; cliff; ice canyon; volcano; plain; hill":"rocky; subartic; arid; hot; tropical; artificial temperate; superheated"
1141:"Gumala Zephyrian":7795:0,66:1,026:0,86:"cityscape":"rocky"
1142:"Aetheronix I":7817:3,5:0,946:missing:"tundra; city; fungus forest; ocean":"hot; humid; windy; frozen"
1143:"Nefertiti's Nebula VIII":8572:3,1:0,648:1,68:"ocean":"frigid; superheated; subartic"
1144:"Asellus Australis Chimeraean":9119:2,28:0,875:missing:"cliff; river; toxic cloudsea; tundra; plateau; verdant; volcano; cityscape":"subartic; rocky; temperate; frozen; hot"
